model_type,features,features_text,n_features,MAE_train,RMSE_train,R2_train,MAE_test,RMSE_test,R2_test,sMAPE_test,AIC_train,BIC_train,adj_R2_train
statsmodels_ols,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag3', 'mat_eq_lag1']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag3 + mat_eq_lag1,4,1.959146269624146,2.488805521361351,0.2020218915156814,1.7277538225043063,2.2990656298802934,-0.15148804118967307,24.884215488361082,471.48680082079585,484.4624000714688,0.16806537626102924
sklearn_linear_regression,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag3', 'mat_eq_lag1']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag3 + mat_eq_lag1,4,1.9591462696241468,2.488805521361351,0.20202189151568117,1.727753822504307,2.299065629880292,-0.15148804118967196,24.884215488361093,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag3', 'mat_eq_lag1', 'mes']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag3 + mat_eq_lag1 + mes,5,1.955284897869525,2.4881725571229,0.20242773068054631,1.7299742392155204,2.31627111946676,-0.1687872851426273,24.9104340281896,473.436438163813,489.00715726462056,0.15954750114724237
sklearn_linear_regression,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag3', 'mat_eq_lag1', 'mes']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag3 + mat_eq_lag1 + mes,5,1.9552848978695252,2.4881725571229,0.20242773068054631,1.7299742392155226,2.316271119466762,-0.16878728514262886,24.910434028189634,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'mat_eq_lag1', 'mes']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + mat_eq_lag1 + mes,4,1.9958546133772532,2.562256625957963,0.15422605165119263,1.7684980904018373,2.314948599999867,-0.167452983092939,25.427172495112682,477.24572578872414,490.2213250393971,0.118235670870392
sklearn_linear_regression,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'mat_eq_lag1', 'mes']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + mat_eq_lag1 + mes,4,1.995854613377227,2.5622566259579633,0.1542260516511924,1.7684980904018408,2.3149485999998998,-0.1674529830929723,25.42717249511275,,,
sklearn_linear_regression,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'mat_eq_lag1']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + mat_eq_lag1,3,1.995616984377596,2.5622740251222123,0.15421456505015496,1.7712032528172115,2.312871498909669,-0.16535891501893385,25.46903845850535,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'mat_eq_lag1']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + mat_eq_lag1,3,1.9956169843775966,2.562274025122212,0.15421456505015518,1.7712032528172121,2.3128714989096704,-0.1653589150189354,25.46903845850535,475.2470703155719,485.62754971611025,0.12750555131489671
sklearn_linear_regression,"['RE_ponderado_lag3', 'mes']",RE_ponderado_lag3 + mes,2,2.061363018124091,2.69399388664992,0.06502011899982107,1.9991469837329978,2.789119991222386,-0.6946932165533646,29.45216101967731,,,
statsmodels_ols,"['RE_ponderado_lag3', 'mes']",RE_ponderado_lag3 + mes,2,2.0613630181240907,2.69399388664992,0.06502011899982141,1.9991469837329994,2.789119991222387,-0.6946932165533664,29.45216101967733,483.1727417048658,490.9581012552696,0.045541371478984405
sklearn_linear_regression,"['RE_ponderado_lag1', 'mes']",RE_ponderado_lag1 + mes,2,2.08006275430086,2.728689053495803,0.0407823720660514,2.006002369976882,2.617522053981342,-0.4925792271707501,29.759345396503907,,,
statsmodels_ols,"['RE_ponderado_lag1', 'mes']",RE_ponderado_lag1 + mes,2,2.08006275430086,2.7286890534958026,0.04078237206605162,2.0060023699768834,2.617522053981343,-0.4925792271707514,29.759345396503917,485.7064457229966,493.49180527340036,0.0207986714840942
sklearn_linear_regression,"['RE_ponderado_lag3', 'mat_eq_lag1', 'mes']",RE_ponderado_lag3 + mat_eq_lag1 + mes,3,2.0951209212405244,2.6757933054017897,0.07761086278701734,2.0099203858303643,2.8084487633707957,-0.7182632607711064,29.516792996472287,,,
